seed,main_accuracy,main_precision,main_recall,main_auc,main_f1,occ_accuracy,occ_precision,occ_recall,occ_auc,occ_f1,vec_only_accuracy,vec_only_precision,vec_only_recall,vec_only_auc,vec_only_f1,a_acc,a_precision,a_recall,a_auc,a_f1,best_a
11,0.809810996055603,0.4951644241809845,0.5470085740089417,0.7088682651519775,0.519796954314721,0.7704061269760132,0.42746615409851074,0.44556450843811035,0.6484477519989014,0.43632773938795655,0.8102130889892578,0.5183752179145813,0.5458248257637024,0.7105376720428467,0.5317460317460317,0.8178528547286987,0.27852997183799744,0.6428571343421936,0.7390158176422119,0.38866396761133604,0.5
30,0.8025733828544617,0.4680851101875305,0.528384268283844,0.6964247226715088,0.49641025641025643,0.7635705471038818,0.40232107043266296,0.4271047115325928,0.6363023519515991,0.4143426294820717,0.8106151819229126,0.4874274730682373,0.5502183437347412,0.7098061442375183,0.5169230769230769,0.803779661655426,0.23597678542137146,0.5674418807029724,0.6967931389808655,0.3333333333333333,0.5
2022,0.8158423900604248,0.5067698359489441,0.5634408593177795,0.7186640501022339,0.5336048879837068,0.763168454170227,0.39071565866470337,0.424369752407074,0.6338656544685364,0.4068479355488419,0.8073984980583191,0.4951644241809845,0.5400843620300293,0.7052135467529297,0.5166498486377396,0.8073984980583191,0.4951644241809845,0.5400843620300293,0.7052135467529297,0.5166498486377396,0.55
9,0.800160825252533,0.4584139287471771,0.5220264196395874,0.6921494603157043,0.4881565396498455,0.768797755241394,0.39845260977745056,0.4382978677749634,0.6420542001724243,0.41742654508611954,0.803779661655426,0.4545454680919647,0.5328798294067383,0.6975249648094177,0.4906054279749478,0.8029754757881165,0.22437137365341187,0.5658536553382874,0.6950652599334717,0.32132963988919666,0.5
49,0.7876960039138794,0.43713733553886414,0.4881209433078766,0.6721731424331665,0.46122448979591835,0.7780458331108093,0.40425533056259155,0.4613686501979828,0.6549714207649231,0.4309278350515464,0.8057901263237,0.4854932427406311,0.5363247990608215,0.7022881507873535,0.5096446700507614,0.8150382041931152,0.26692456007003784,0.6301369667053223,0.7315146923065186,0.37499999999999994,0.5
1,0.8102130889892578,0.4719535708427429,0.5507900714874268,0.7086142301559448,0.5083333333333332,0.7788500189781189,0.41199225187301636,0.46405228972435,0.6570754647254944,0.4364754098360656,0.811821460723877,0.4835589826107025,0.5543237328529358,0.7115920782089233,0.5165289256198347,0.817450761795044,0.25918760895729065,0.6536585092544556,0.7429116368293762,0.3711911357340721,0.5
2,0.8122235536575317,0.5009671449661255,0.5534188151359558,0.7128164172172546,0.5258883248730964,0.7704061269760132,0.42940038442611694,0.4457831382751465,0.6487337350845337,0.43743842364532015,0.8082026243209839,0.5106382966041565,0.5409836173057556,0.7072101831436157,0.5253731343283583,0.8102130889892578,0.27852997183799744,0.5925925970077515,0.7131857872009277,0.37894736842105264,0.5
3,0.8021712899208069,0.4777562916278839,0.526652455329895,0.6964282989501953,0.5010141987829615,0.75713711977005,0.3694390654563904,0.40724948048591614,0.6228516697883606,0.38742393509127787,0.7977482676506042,0.4796905219554901,0.5145228505134583,0.6901791095733643,0.49649649649649646,0.8005629181861877,0.23597678542137146,0.5470852255821228,0.6863076686859131,0.32972972972972975,0.5
37,0.803779661655426,0.45067697763442993,0.5331807732582092,0.6973220705986023,0.48846960167714887,0.7780458331108093,0.38104447722435,0.4592074453830719,0.6518583297729492,0.4164904862579281,0.8190591335296631,0.5125725269317627,0.5723541975021362,0.7239241600036621,0.5408163265306123,0.8134298324584961,0.24758221209049225,0.6305418610572815,0.7301132678985596,0.35555555555555557,0.5
8,0.8126256465911865,0.4874274730682373,0.556291401386261,0.7130030989646912,0.5195876288659793,0.7744269967079163,0.39458414912223816,0.45132744312286377,0.6487595438957214,0.42105263157894735,0.8082026243209839,0.4990328848361969,0.5420168042182922,0.7066125869750977,0.5196374622356495,0.8250904679298401,0.2843326926231384,0.6933962106704712,0.7653794288635254,0.40329218106995884,0.5
mean,0.8057096600532532,0.4754352569580078,0.5369314551353455,0.7016463875770569,0.5042486215686968,0.7702854871749878,0.4009671211242676,0.44243255257606506,0.6444920301437378,0.42047535709660766,0.8082830309867859,0.4926498830318451,0.542953372001648,0.706488847732544,0.5164421400543507,0.8113791346549988,0.28065764904022217,0.6063648462295532,0.720550000667572,0.3773692759981975,0.505
std,0.008242156356573105,0.022626802325248718,0.02221211977303028,0.01364677120000124,0.02174268139018288,0.007316752802580595,0.01882060244679451,0.018329370766878128,0.010690147057175636,0.015795642130467687,0.0055385553278028965,0.018886739388108253,0.014986719936132431,0.008966587483882904,0.01501900563056044,0.007795566227287054,0.0781310573220253,0.05114845559000969,0.025250354781746864,0.05584690190571181,0.015811388300841906
