seed,main_accuracy,main_precision,main_recall,main_auc,main_f1,occ_accuracy,occ_precision,occ_recall,occ_auc,occ_f1,vec_only_accuracy,vec_only_precision,vec_only_recall,vec_only_auc,vec_only_f1,a_acc,a_precision,a_recall,a_auc,a_f1,best_a
11,0.8664681315422058,0.5117993950843811,0.6263538002967834,0.765550971031189,0.5633116883116882,0.8173243999481201,0.4085545837879181,0.45261436700820923,0.6676299571990967,0.4294573643410853,0.8562918901443481,0.525073766708374,0.5807504057884216,0.7432440519332886,0.5515104570100696,0.8719285130500793,0.31563422083854675,0.8045112490653992,0.8406027555465698,0.4533898305084746,0.5
30,0.8624969124794006,0.501474916934967,0.6115108132362366,0.7570942640304565,0.5510534846029173,0.8163316249847412,0.39823007583618164,0.4485049843788147,0.6647251844406128,0.421875,0.8577811121940613,0.523598849773407,0.586776852607727,0.7462213635444641,0.553390491036633,0.8731695413589478,0.3185840845108032,0.8150943517684937,0.8461763262748718,0.45811240721102864,0.5
2022,0.861504077911377,0.508849561214447,0.6052631735801697,0.7544962763786316,0.5528846153846153,0.8222883939743042,0.39085546135902405,0.4665493071079254,0.6736097931861877,0.42536115569823435,0.8481012582778931,0.5206489562988281,0.551562488079071,0.727832019329071,0.5356600910470409,0.8679572939872742,0.3097345232963562,0.7664233446121216,0.8208947777748108,0.4411764705882353,0.5
9,0.8684536814689636,0.525073766708374,0.631205677986145,0.7691382169723511,0.573268921095008,0.8175725936889648,0.37168142199516296,0.4491978585720062,0.6631802320480347,0.4067796610169492,0.8503350615501404,0.5265486836433411,0.5586854219436646,0.7319976091384888,0.542141230068337,0.8654752969741821,0.29203540086746216,0.7615384459495544,0.8170918822288513,0.42217484008528783,0.5
49,0.8490940928459167,0.49262535572052,0.5585284233093262,0.729133129119873,0.5235109717868338,0.8021841645240784,0.38348081707954407,0.4068857729434967,0.6417909264564514,0.3948367501898254,0.857284665107727,0.5412979125976562,0.5816164612770081,0.7450459599494934,0.5607333842627961,0.8674609065055847,0.3126843571662903,0.7571428418159485,0.8164215087890625,0.44258872651356995,0.5
1,0.8570364713668823,0.50737464427948,0.5870307087898254,0.7450110912322998,0.5443037974683544,0.812360405921936,0.38643068075180054,0.43521595001220703,0.6569135189056396,0.409375,0.8543062806129456,0.5221238732337952,0.5737439393997192,0.7393924593925476,0.5467181467181467,0.8709357380867004,0.3185840845108032,0.7883211970329285,0.832642674446106,0.453781512605042,0.5
2,0.8600149154663086,0.523598849773407,0.5956375598907471,0.7507753372192383,0.5572998430141288,0.8093819618225098,0.4129793643951416,0.4307692348957062,0.6564913988113403,0.42168674698795183,0.8560436964035034,0.5486725568771362,0.5758513808250427,0.7426996231079102,0.5619335347432024,0.872921347618103,0.33480826020240784,0.7881944179534912,0.8338192105293274,0.4699792960662526,0.5
3,0.860511302947998,0.5103244781494141,0.6006944179534912,0.7522730827331543,0.5518341307814991,0.8170762062072754,0.40265485644340515,0.451239675283432,0.6664784550666809,0.4255650818394388,0.857284665107727,0.5103244781494141,0.587436318397522,0.7454623579978943,0.5461720599842146,0.8694465160369873,0.3053097426891327,0.7900763154029846,0.8325214982032776,0.44042553191489364,0.5
37,0.8612558841705322,0.5044247508049011,0.6053097248077393,0.7541560530662537,0.5502815768302493,0.8163316249847412,0.4115044176578522,0.44999998807907104,0.6664784550666809,0.4298921417565485,0.8560436964035034,0.5280236005783081,0.5792880058288574,0.7427369356155396,0.5524691358024691,0.8689501285552979,0.3171091377735138,0.7678571343421936,0.8221787214279175,0.4488517745302714,0.5
8,0.8595184683799744,0.5,0.5989399552345276,0.7505239844322205,0.545016077170418,0.8101266026496887,0.39970502257347107,0.4308426082134247,0.6555683016777039,0.41469013006885996,0.8525688648223877,0.4955752193927765,0.5714285969734192,0.7360194325447083,0.5308056872037914,0.8657234907150269,0.30383479595184326,0.7490909099578857,0.8116791844367981,0.4323189926547744,0.5
mean,0.8606353998184204,0.5085545778274536,0.602047324180603,0.7528152465820312,0.5512765106445713,0.8140977621078491,0.3966076672077179,0.4421819746494293,0.6612866520881653,0.41795190318988934,0.8546041250228882,0.5241888165473938,0.5747140049934387,0.7400652170181274,0.5481534217876701,0.8693968653678894,0.3128318786621094,0.7788249850273132,0.8274028897285461,0.4462799382677831,0.5
std,0.005244607105851173,0.010046848095953465,0.020340221002697945,0.010969778522849083,0.013027601600271303,0.005689997225999832,0.013382242061197758,0.016627110540866852,0.008921370841562748,0.011355243123769372,0.0032693916000425816,0.01468685269355774,0.011634765192866325,0.006214469205588102,0.010025680374706962,0.002795376116409898,0.011328058317303658,0.021620353683829308,0.011378795839846134,0.013601526341791246,0.0
