seed,main_accuracy,main_precision,main_recall,main_auc,main_f1,occ_accuracy,occ_precision,occ_recall,occ_auc,occ_f1,vec_only_accuracy,vec_only_precision,vec_only_recall,vec_only_auc,vec_only_f1,a_acc,a_precision,a_recall,a_auc,a_f1,best_a
11,0.7967237234115601,0.5619469285011292,0.42192691564559937,0.6634587049484253,0.48197343453510433,0.830727219581604,0.47492626309394836,0.4969135820865631,0.6958096027374268,0.4856711915535445,0.861504077911377,0.30383479595184326,0.7054794430732727,0.7895874381065369,0.42474226804123716,0.863986074924469,0.31120944023132324,0.7226027250289917,0.798818051815033,0.43505154639175264,0.9
30,0.8173243999481201,0.5412979125976562,0.46338382363319397,0.6836535930633545,0.4993197278911565,0.8145942091941833,0.49410030245780945,0.45331528782844543,0.6745299696922302,0.4728299223712068,0.8503350615501404,0.40707963705062866,0.5786163806915283,0.7327203750610352,0.4779220779220779,0.8587738871574402,0.4174041152000427,0.6192560195922852,0.7543368339538574,0.49867841409691627,0.8
2022,0.8101266026496887,0.49705013632774353,0.4428383708000183,0.6692466139793396,0.4683808200138985,0.7920079231262207,0.49705013632774353,0.4040767252445221,0.6486737132072449,0.44576719576719576,0.8515760898590088,0.31563422083854675,0.6149425506591797,0.7444448471069336,0.4171539961013645,0.8565400838851929,0.3215339183807373,0.648809552192688,0.76212477684021,0.42998027613412226,0.8500000000000001
9,0.8342020511627197,0.4601770043373108,0.5081433057785034,0.7004845142364502,0.4829721362229102,0.8006949424743652,0.501474916934967,0.42236024141311646,0.6587607264518738,0.45853000674308836,0.8582774996757507,0.2817109227180481,0.6945454478263855,0.782408595085144,0.4008394543546694,0.8602631092071533,0.2861357033252716,0.7106227278709412,0.7908811569213867,0.4079915878023133,0.8500000000000001
49,0.772648274898529,0.5722714066505432,0.3826429843902588,0.6432285904884338,0.45862884160756495,0.7930007576942444,0.5,0.4064748287200928,0.650185763835907,0.44841269841269843,0.8508314490318298,0.28023597598075867,0.6270626783370972,0.7480455636978149,0.3873598369011213,0.8520724773406982,0.2846607565879822,0.6348684430122375,0.7523335218429565,0.3930753564154786,0.9500000000000001
1,0.7773641347885132,0.5973451137542725,0.39358600974082947,0.6512929797172546,0.47451669595782076,0.7939935326576233,0.49262535572052,0.40731707215309143,0.6500592827796936,0.44592790387182907,0.8525688648223877,0.3008849620819092,0.6296296119689941,0.7508472204208374,0.407185628742515,0.8565400838851929,0.34365782141685486,0.6366119980812073,0.7575634717941284,0.446360153256705,0.75
2,0.7897741198539734,0.5840708017349243,0.41207075119018555,0.6600770950317383,0.48322147651006714,0.8163316249847412,0.4808259606361389,0.456582635641098,0.6751993298530579,0.46839080459770116,0.8488458395004272,0.32300883531570435,0.5934959053993225,0.7340430021286011,0.41833810888252154,0.8552990555763245,0.3259586989879608,0.6368876099586487,0.756385087966919,0.4312195121951219,0.8500000000000001
3,0.8292379975318909,0.47787609696388245,0.49240121245384216,0.6936939358711243,0.48502994011976047,0.7890295386314392,0.5309734344482422,0.4035874307155609,0.6511083245277405,0.45859872611464975,0.8252668380737305,0.3879055976867676,0.47644928097724915,0.6785467267036438,0.42764227642276426,0.8473566770553589,0.45132744312286377,0.5573770403862,0.7252402901649475,0.49877750611246935,0.5
37,0.8210474252700806,0.49410030245780945,0.469845712184906,0.683203935623169,0.48166786484543495,0.7954827547073364,0.47050148248672485,0.4068877696990967,0.6481280326843262,0.4363885088919288,0.8473566770553589,0.39380529522895813,0.5668789744377136,0.7256823182106018,0.4647519582245431,0.8562918901443481,0.39528024196624756,0.6132723093032837,0.7495648860931396,0.48071748878923765,0.8
8,0.8250186443328857,0.47787609696388245,0.47999998927116394,0.687227189540863,0.4789356984478935,0.7964755296707153,0.5103244781494141,0.4148681163787842,0.6554778814315796,0.4576719576719576,0.8463638424873352,0.30383479595184326,0.5835694074630737,0.7275844812393188,0.3996120271580989,0.8520724773406982,0.30678465962409973,0.6227545142173767,0.7477778196334839,0.41106719367588934,0.9
mean,0.8073467016220093,0.526401162147522,0.4466838836669922,0.6735566854476929,0.47946466361516116,0.8022338151931763,0.4952802062034607,0.4272383749485016,0.6607933044433594,0.45781889159958,0.8492926359176636,0.3297935128211975,0.6070669889450073,0.7413910627365112,0.4225547632750913,0.8559195399284363,0.34439530968666077,0.640306293964386,0.7595025897026062,0.44329190348700065,0.8150000000000001
std,0.021940087899565697,0.05049549788236618,0.04286807030439377,0.018945030868053436,0.010772935069905377,0.013648678548634052,0.017669036984443665,0.03146515414118767,0.015928965061903,0.014713407162753336,0.009655245579779148,0.047895122319459915,0.06543039530515671,0.031027456745505333,0.028667783197392313,0.004670226015150547,0.05744117870926857,0.04737977683544159,0.021184084936976433,0.03764379482154125,0.1248332220738267
